state	dendirsta2002	accesscare2004	accesscare2003	accesscare2002	accesscare2001	denscreprog2004	denscreprog2003	denscreprog2002	denscreprog2001	dentsealprog2004	dentsealprog2003	dentsealprog2002	dentsealprog2001	eccbbtdprev2004	eccbbtdprev2003	eccbbtdprev2002	eccbbtdprev2001	fluorcomm2004	fluorcomm2003	fluorcomm2002	fluorcomm2001	fluormouth2004	fluormouth2003	fluormouth2002	fluormouth2001	fluorsupp2004	fluorsupp2003	fluorsupp2002	fluorsupp2001	fluorvarn2004	fluorvarn2003	fluorvarn2002	fluorvarn2001	mguard2004	mguard2003	mguard2002	mguard2001	needsass2004	needsass2003	needsass2002	needsass2001	oralhealthed2004	oralhealthed2003	oralhealthed2002	oralhealthed2001	smokespit2004	smokespit2003	smokespit2002	smokespit2001	percpubfluor2004	percpubfluor2003	percpubfluor2002	percpubfluor2001	percpubfluor2000	percpubfluor1992	fedqualheal1242004	fedqualheal1242003	fedqualheal1242002	fedqualheal1242001	fedqualheal1242000	numrurclin2004	numrurclin2003	numrurclin2002	numrurclin2001	numrurclin2000	commlowclin2004	commlowclin2003	commlowclin2002	commlowclin2001	schdenclin2004	schdenclin2003	schdenclin2002	schdenclin2001	schhealcenoral2004	schhealcenoral2003	schhealcenoral2002	schhealcenoral2001	localhealwden2004	localhealwden2003	localhealwden2002	localhealwden2001
 FL 	 Full time 	" 98,980 "	" 88,883 "	 NR* 	 yes 	" 4,018 "		 NR* 	 NR* 	" 24,661 "	" 18,877 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 10,971,117 "	" 9,839,919 "	" 940,744 "	" 9,407,494 "	" 76,215 "	" 90,236 "	 NR* 	 no 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 39,000 "	 NR* 	 NR* 	 NR* 	" 17,420 "	" 15,693 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 67 	 66 	 63 	 63 	 63 	 58 					 84 					 135 	 111 	 142 	 NR* 	 132 	 NA* 	 8 	 NR* 	 NR* 	 NR* 	 2 	 NR* 	 NR* 	 NA* 	 40 	 NR* 	 37 
 GA 	 Full time 	" 196,869 "	" 177,368 "	" 109,208 "	 yes 	" 45,108 "	" 54,033 "	" 28,199 "	 yes 	" 17,031 "	" 11,944 "	" 4,545 "	 yes 	 yes 	 yes 	 yes 	 yes 	" 6,573,283 "	" 6,161,139 "	" 6,140,277 "	" 6,161,139 "	" 12,000 "	" 13,886 "	" 2,031 "	 yes 	 no 	 no 	 no 	 no 	 yes 	 yes 	 no 	 no 	 176 	 175 	 200 	 136 	 yes 	 no 	 no 	 no 	" 47,306 "	" 63,960 "	" 37,413 "	 yes 	" 23,000 "	" 13,879 "	" 5,461 "	 yes 			 93 	 93 	 83 	 93 					 55 					 125 	 28 	 21 	 18 	 6 	 NA* 	 309 	 259 	 NR* 	 NR* 	 1 	 1 	 -   	 NA* 	 67 	 51 	 NR* 
 HI 	 Full time 	 NR* 	 yes 	 yes 	" 2,300 "	 NR* 	 yes 	 yes 	" 25,393 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	" 60,912 "	" 107,061 "	" 109,147 "	" 109,147 "	" 109,147 "	 NR* 	" 1,200 "	" 1,200 "	" 1,800 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 7,500 "	" 7,500 "	" 7,500 "	 NR* 	 yes 	 yes 	" 60,912 "	 NR* 	 NR* 	 NR* 	 NR* 	 9 	 9 	 9 	 9 	 9 	 13 					 13 					 1 	 NR* 	 8 	 8 	 3 	 NA* 	 -   	 -   	 NR* 	 NR* 	 -   	 NR* 	 NR* 	 NA* 	 -   	 -   	 -   
 ID 	 Full time 	 NR* 	 NR* 	 NR* 	 NR* 	" 2,913 "	" 2,414 "	 NR* 	 NR* 	 343 	 464 	 NR* 	" 2,804 "	" 10,735 "	" 7,723 "	 NR* 	" 5,700 "	" 448,429 "	" 383,720 "	" 383,720 "	" 383,720 "	" 33,276 "	" 34,226 "	 NR* 	" 35,622 "	 NR* 	 NR* 	 NR* 	 NR* 	" 3,217 "	" 1,643 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 4,900 "	" 2,097 "	 NR* 	" 6,216 "	" 15,421 "	" 15,389 "	 NR* 	" 46,349 "	 NR* 	 NR* 	 NR* 	 NR* 	 48 	 45 	 45 	 45 	 45 	 48 					 19 					 35 	 10 	 8 	 NR* 	 5 	 NA* 	 1 	 NR* 	 1 	 -   	 -   	 NR* 	 -   	 NA* 	 7 	 NR* 	 7 
 IL 	 Full time 	" 128,844 "	" 76,747 "	" 92,525 "	 yes 	" 42,715 "	" 28,864 "	" 21,358 "	" 22,362 "	" 42,715 "	" 28,864 "	" 21,358 "	" 22,362 "	 yes 	 yes 	 yes 	 yes 	" 11,156,868 "	" 11,155,359 "	" 11,027,069 "	" 10,453,837 "	" 4,039 "	" 4,039 "	" 5,268 "	" 5,060 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	" 884,834 "	 yes 	 yes 	" 76,747 "	" 92,525 "	 yes 	 yes 	" 28,864 "	" 21,358 "	" 22,362 "	 yes 	 yes 	 yes 	 yes 	 99 	 99 	 100 	 93 	 93 	 95 					 83 					 198 	 119 	 70 	 56 	 56 	 NA* 	 5 	 5 	 5 	 5 	 6 	 NR* 	 NR* 	 NA* 	 47 	 23 	 23 
 IN 	 Full time 	" 270,900 "	" 270,900 "	" 270,900 "	" 270,913 "	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	" 4,219,305 "	" 4,232,907 "	" 4,232,907 "	" 4,232,907 "	" 41,987 "	" 57,000 "	" 57,000 "	" 51,000 "	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 NR* 	" 1,200 "	" 1,200 "	" 1,800 "	" 20,000 "	" 20,000 "	" 20,000 "	" 20,000 "	 NR* 	 yes 	 yes 	 yes 	 96 	 95 	 95 	 95 	 95 	 99 					 18 					 52 	 45 	 15 	 15 	 4 	 NA* 	 6 	 2 	 2 	 6 	 6 	 2 	 2 	 NA* 	 3 	 3 	 3 
 IA 	 Full time 	 yes 	" 1,500 "	 NR* 	" 5,000 "	 yes 	 yes 	 NR* 	" 1,500 "	" 2,755 "	" 2,282 "	 NR* 	" 2,700 "	 NR* 	 NR* 	 NR* 	 NR* 	" 2,182,673 "	" 2,181,649 "	" 2,181,649 "	" 2,181,649 "	" 25,001 "	" 26,425 "	 NR* 	" 29,364 "	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	" 3,662 "	" 1,008 "	 NR* 	" 1,607 "	 yes 	 yes 	 NR* 	" 10,000 "	 NR* 	 NR* 	 NR* 	 200 	 91 	 91 	 91 	 91 	 91 	 91 					 12 					 134 			 NR* 	 4 	 NA* 		 NR* 	 6 			 NR* 	 NR* 	 NA* 		 NR* 	 -   
 KS 	 None 	" 12,362 "	" 16,441 "	 NR* 	 NR* 	" 24,000 "	" 18,502 "	 NR* 	 NR* 	 NR* 	" 1,699 "	 NR* 	 NR* 	 420 	 356 	 NR* 	 NR* 	" 1,558,234 "	" 1,513,306 "	" 1,513,306 "	" 1,513,306 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,228 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 4,602 "	" 4,602 "	 NR* 	 NR* 	 236 	 435 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 62 	 63 	 63 	 63 	 63 	 58 					 10 					 156 	 10 	 9 	 NR* 	 4 	 NA* 	 -   	 NR* 	 NR* 	 -   	 -   	 NR* 	 NR* 	 NA* 	 2 	 2 	 2 
 KY 	 Full time 	 NR* 	 yes 	 yes 	 yes 	" 10,000 "	" 10,000 "	" 10,000 "	 yes 	 yes 	" 10,000 "	" 6,000 "	" 2,000 "	 yes 	 yes 	 NR* 	 NR* 	" 3,639,355 "	" 3,235,053 "	" 3,236,403 "	" 3,235,053 "	 NR* 	 NR* 	 NR* 	 NR* 	" 5,000 "	" 8,000 "	" 10,000 "	" 7,000 "	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	" 10,000 "	 NR* 	 yes 	" 3,000 "	" 10,000 "	" 22,600 "	" 12,000 "	" 10,000 "	" 10,000 "	" 20,000 "	" 20,000 "	" 20,000 "	 NR* 	 yes 	 100 	 96 	 96 	 96 	 96 	 100 					 27 					 72 	 13 	 10 	 10 	 10 	 NA* 	 -   	 -   	 5 	 -   	 2 	 2 	 2 	 NA* 	 3 	 3 	 2 
 LA 	 Full time 	 NR* 	 NR* 	 NR* 	 NR* 	 871 	 yes 	 yes 	 yes 	 183 	 yes 	 yes 	 yes 	 NR* 	 yes 	 NR* 	 yes 	" 2,057,535 "	" 2,375,702 "	" 2,140,000 "	" 2,375,702 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	" 1,200 "	" 1,400 "	 yes 	 yes 	 60 	 80 	 yes 	 yes 	 46 	 53 	 49 	 53 	 63 	 56 					 23 					 49 	 76 	 25 	 25 	 25 	 NA* 	 53 	 47 	 -   	 3 	 3 	 1 	 47 	 NA* 	 1 	 1 	 1 
 ME 	 Full time 	 yes 	 yes 	 yes 	 yes 	" 2,300 "	" 1,200 "	" 1,200 "	 yes 	" 1,221 "	" 1,200 "	" 1,200 "	" 1,850 "	 yes 	 NR* 	 NR* 	 NR* 	" 469,343 "	" 466,208 "	" 466,208 "	" 466,208 "	" 29,000 "	" 37,000 "	" 37,000 "	" 38,500 "	 NR* 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 6,246 "	 yes 	 yes 	 NR* 	" 100,000 "	" 100,000 "	" 100,000 "	" 100,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 74 	 75 	 75 	 75 	 75 	 56 					 32 					 50 	 15 	 15 	 13 	 16 	 NA* 	 1 	 1 	 -   	 1 	 1 	 1 	 -   	 NA* 	 2 	 2 	 2 
 MD 	 Full time 	" 2,497 "	" 1,322 "	 NR* 	 yes 	" 2,600 "	" 2,667 "	 NR* 	 NR* 	" 3,500 "	" 2,100 "	 NR* 	 yes 	 yes 	 yes 	 NR* 	 yes 	" 4,155,731 "	" 4,124,953 "	" 4,124,953 "	" 4,249,671 "	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 NR* 	 NR* 	 yes 	 yes 	 NR* 	" 6,000 "	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 94 	 91 	 91 	 91 	 91 	 86 					 22 					 -   	 16 	 14 	 NR* 	 14 	 NA* 	 5 	 NR* 	 6 	 7 	 7 	 NR* 	 2 	 NA* 	 12 	 NR* 	 12 
 MA 	 Full time 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	" 3,500 "	" 3,000 "	 yes 	 yes 	 yes 	 yes 	 NR* 	" 3,763,398 "	" 3,765,870 "	" 3,765,870 "	" 3,546,099 "	" 5,300 "	" 59,000 "	" 52,000 "	" 55,000 "	" 1,210 "	" 1,100 "	" 1,270 "	" 1,600 "	 120 	 50 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 NR* 	 61 	 63 	 63 	 56 	 56 	 57 					 33 					 -   	 56 	 55 	 53 	 40 	 NA* 	 10 	 10 	 2 	 1 	 1 	 1 	 1 	 NA* 	 4 	 4 	 2 
 MI 	 None 	 yes 	 NR* 	" 272,500 "	 910 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 6,201,025 "	 NR* 	" 6,568,151 "	" 6,568,151 "	" 16,324 "	 NR* 	" 42,000 "	" 40,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 86 	 91 	 91 	 91 	 91 	 89 					 59 					 153 	 49 	 NR* 	 70 	 28 	 NA* 	 NR* 	 6 	 6 	 -   	 NR* 	 6 	 6 	 NA* 	 NR* 	 22 	 19 
 MN 	 Full time 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 NR* 	 no 	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	" 3,960,649 "	" 3,733,104 "	" 3,714,465 "	" 3,714,465 "	 yes 	 yes 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 yes 	 yes 	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 98 	 100 	 98 	 98 	 98 	 93 					 18 					 60 	 12 	 12 	 12 	 19 	 NA* 	 5 	 5 	 7 	 -   	 -   	 NR* 	 2 	 NA* 	 -   	 NR* 	 2 
 MS 	 None 	 12 	 NR* 	 NR* 	 yes 	 17 	 NR* 	 NR* 	 NR* 	 728 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 1,378,296 "	" 1,159,859 "	" 1,227,268 "	" 1,227,268 "	" 20,773 "	" 12,000 "	" 12,000 "	" 25,000 "	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 5,576 "	 NR* 	 NR* 	 yes 	 NR* 	 450 	 27 	 NR* 	" 25,000 "	 NR* 	 NR* 	 NR* 	 46 	 39 	 46 	 46 	 46 	 46 					 60 					 133 	 36 	 17 	 14 	 NR* 	 NA* 	 -   	 -   	 NR* 	 NR* 	 -   	 -   	 NR* 	 NA* 	 -   	 -   	 NR* 
 MO 	 Full time 	 NR* 	 yes 	 yes 	 yes 	 yes 	 yes 	" 38,463 "	" 41,374 "	 NR* 	 104 	" 2,831 "	" 2,858 "	 NR* 	 yes 	 yes 	 NR* 	" 1,589,116 "	 NR* 	" 4,502,722 "	" 4,502,722 "	" 98,800 "	" 111,378 "	" 103,726 "	" 106,396 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	" 12,641 "	" 12,641 "	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 yes 	 81 	 82 	 79 	 81 	 81 	 71 					 50 					 163 	 8 	 28 	 20 	 13 	 NA* 	 2 	 2 	 2 	 -   	 -   	 -   	 -   	 NA* 	 8 	 8 	 5 
 MT 	 Full time 	 yes 	 yes 	 NR* 	 yes 	" 9,214 "	" 9,050 "	" 13,115 "	" 13,500 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 18,200 "	 yes 	" 166,385 "	" 143,092 "	" 143,092 "	" 143,092 "	" 44,918 "	" 47,345 "	" 48,500 "	" 49,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 7,781 "	" 3,020 "	 200 	" 5,917 "	" 136,000 "	" 130,443 "	" 128,000 "	" 127,530 "	 NR* 	 yes 	 NR* 	 NR* 	 24 	 22 	 22 	 22 	 22 	 26 					 12 					 32 	 10 	 8 	 7 	 5 	 NA* 	 -   	 -   	 1 	 -   	 -   	 -   	 -   	 NA* 	 -   	 -   	 -   
 NE 	 Full time 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	" 83,000 "	 yes 	 yes 	 NR* 	" 1,000 "	 NR* 	 NR* 	 NR* 	 yes 	" 983,262 "	" 966,262 "	" 966,262 "	" 966,262 "	" 9,179 "	" 26,501 "	 NR* 	" 30,000 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 150 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 yes 	 yes 	 NR* 	" 1,800 "	 NR* 	 NR* 	 NR* 	 NR* 	 70 	 78 	 78 	 78 	 78 	 78 					 7 					 76 	 10 	 8 	 NR* 	 2 	 NA* 	 -   	 NR* 	 -   	 -   	 -   	 NR* 	 -   	 NA* 	 2 	 NR* 	 1 
 NV 	 Acting 	 12 	 yes 	 NR* 	 no 	" 2,470 "	 yes 	" 9,958 "	" 1,502 "	" 1,804 "	 yes 	" 1,829 "	 yes 	 359 	 51 	 354 	 yes 	" 1,382,118 "	" 1,416,354 "	" 1,086,520 "	" 1,078,479 "	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 885 	 yes 	" 1,823 "	" 1,600 "	 NR* 	 NR* 	 NR* 	 NR* 	" 2,927 "	 yes 	 NR* 	 yes 	 yes 	 NR* 	 NR* 	" 19,085 "	 NR* 	 NR* 	 NR* 	 NR* 	 69 	 74 	 66 	 66 	 66 	 2 					 20 					 2 	 13 	 7 	 7 	 7 	 NA* 	 3 	 3 	 3 	 -   	 -   	 -   	 -   	 NA* 	 -   	 -   	 -   
 NH 	 Full time 	" 18,548 "	" 25,500 "	" 17,765 "	" 10,000 "	" 18,548 "	" 25,500 "	" 17,765 "	" 10,669 "	" 1,607 "	 500 	" 1,200 "	" 1,200 "	 500 	" 18,200 "	" 17,500 "	 NR* 	" 345,336 "	" 947,007 "	" 347,007 "	" 347,007 "	" 5,025 "	 yes 	" 5,000 "	" 5,000 "	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 yes 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	 NR* 	" 5,039 "	" 4,478 "	" 18,000 "	 400 	" 18,548 "	" 26,000 "	" 10,400 "	" 2,500 "	 NR* 	 474 	 NR* 	 NR* 	 43 	 43 	 43 	 43 	 43 	 24 					 12 					 21 	 7 	 7 	 6 	 5 	 NA* 	 15 	 14 	 13 	 1 	 1 	 1 	 1 	 NA* 	 1 	 1 	 1 
