state	 totchbel200less1903 	 totchbel200less1902 	 totchbel200less1901 	 totchbel200less1900 	 totchbel200povless1903 	 totchbel200povless1902 	 totchbel200povless1901 	 totchbel200povless1900 	 totchbel200perc03 	 totchbel200perc02 	 totchbel200perc01 	 totchbel200perc00 		 inscovtot03 	 inscovtot02 	 inscovtot01 	 inscovtot00 	 inscovperc03 	 inscovperc02 	 inscovperc01 	 inscovperc00 	 noinscovtot03 	 noinscovtot02 	 noinscovtot01 	 noinscovtot00 	 noinscovperc03 	 inscovperc0no2 	 inscovperc0no1 	 inscovpercno00 
NH	 329 	 318 	 299 	 335 	 71 	 62 	 77 	 79 	22%	19%	26%	24%		 65 	 55 	 66 	 66 	20%	17%	22%	20%	 5 	 6 	 11 	 13 	2%	2%	4%	4%
NJ	" 2,286 "	" 2,234 "	" 1,960 "	" 2,269 "	 626 	 535 	 525 	 595 	27%	24%	27%	26%		 472 	 440 	 385 	 496 	21%	20%	20%	22%	 153 	 95 	 139 	 100 	7%	4%	7%	4%
NM	 515 	 525 	 520 	 535 	 286 	 271 	 273 	 262 	56%	52%	53%	49%		 232 	 216 	 219 	 191 	45%	41%	42%	36%	 54 	 55 	 54 	 71 	10%	10%	10%	13%
NY	" 4,835 "	" 4,888 "	" 4,763 "	" 4,891 "	" 1,986 "	" 2,000 "	" 1,874 "	" 1,803 "	41%	41%	39%	37%		" 1,716 "	" 1,719 "	" 1,621 "	" 1,516 "	35%	35%	34%	31%	 270 	 281 	 253 	 287 	6%	6%	5%	6%
NC	" 2,151 "	" 2,116 "	" 2,208 "	" 1,951 "	" 1,014 "	 884 	 926 	 734 	47%	42%	42%	38%		 828 	 693 	 774 	 600 	38%	33%	35%	31%	 187 	 192 	 152 	 134 	9%	9%	7%	7%
ND	 157 	 154 	 137 	 157 	 55 	 55 	 56 	 60 	35%	36%	41%	38%		 46 	 48 	 48 	 47 	29%	31%	35%	30%	 9 	 7 	 8 	 13 	6%	5%	6%	8%
OH	" 3,016 "	" 3,070 "	" 2,788 "	" 3,380 "	" 1,026 "	" 1,006 "	 919 	" 1,136 "	34%	33%	33%	34%		 869 	 849 	 777 	 925 	29%	28%	28%	27%	 158 	 157 	 142 	 211 	5%	5%	5%	6%
OK	 915 	 922 	 916 	 847 	 430 	 417 	 424 	 438 	47%	45%	46%	52%		 324 	 353 	 320 	 316 	35%	38%	35%	37%	 107 	 64 	 104 	 122 	12%	7%	11%	14%
OR	 866 	 881 	 901 	 884 	 343 	 330 	 357 	 311 	40%	37%	40%	35%		 280 	 262 	 288 	 223 	32%	30%	32%	25%	 63 	 68 	 69 	 87 	7%	8%	8%	10%
PA	" 3,011 "	" 3,001 "	" 2,895 "	" 3,159 "	" 1,024 "	" 1,024 "	 970 	 921 	34%	34%	34%	29%		 849 	 809 	 814 	 845 	28%	27%	28%	27%	 175 	 215 	 156 	 76 	6%	7%	5%	2%
RI	 265 	 251 	 256 	 211 	 92 	 82 	 67 	 59 	35%	33%	26%	28%		 83 	 76 	 59 	 54 	31%	30%	23%	26%	 9 	 6 	 8 	 5 	3%	2%	3%	2%
SC	" 1,094 "	" 1,048 "	" 1,071 "	 841 	 451 	 418 	 431 	 316 	41%	40%	40%	38%		 384 	 363 	 373 	 305 	35%	35%	35%	36%	 67 	 55 	 58 	 11 	6%	5%	5%	1%
SD	 208 	 207 	 187 	 182 	 72 	 72 	 54 	 61 	35%	35%	29%	34%		 63 	 64 	 45 	 46 	30%	31%	24%	25%	 9 	 8 	 9 	 15 	4%	4%	5%	8%
TN	" 1,456 "	" 1,451 "	" 1,476 "	" 1,428 "	 601 	 615 	 631 	 576 	41%	42%	43%	40%		 496 	 533 	 573 	 548 	34%	37%	39%	38%	 105 	 82 	 58 	 28 	7%	6%	4%	2%
TX	" 6,611 "	" 6,267 "	" 6,524 "	" 6,146 "	" 3,375 "	" 3,035 "	" 2,992 "	" 2,768 "	51%	48%	46%	45%		" 2,433 "	" 2,024 "	" 2,019 "	" 1,867 "	37%	32%	31%	30%	 943 	" 1,011 "	 973 	 901 	14%	16%	15%	15%
UT	 798 	 803 	 762 	 774 	 282 	 274 	 258 	 259 	35%	34%	34%	33%		 236 	 226 	 208 	 213 	30%	28%	27%	28%	 45 	 48 	 51 	 45 	6%	6%	7%	6%
VT	 147 	 142 	 133 	 184 	 45 	 42 	 43 	 77 	31%	30%	32%	42%		 42 	 39 	 41 	 65 	29%	27%	31%	35%	 4 	 4 	 2 	 11 	3%	3%	2%	6%
VA	" 1,871 "	" 1,881 "	" 1,900 "	" 1,831 "	 505 	 599 	 506 	 426 	27%	32%	27%	23%		 429 	 463 	 439 	 307 	23%	25%	23%	17%	 77 	 136 	 67 	 119 	4%	7%	4%	6%
WA	" 1,558 "	" 1,628 "	" 1,609 "	" 1,654 "	 570 	 552 	 582 	 635 	37%	34%	36%	38%		 490 	 486 	 472 	 523 	31%	30%	29%	32%	 80 	 66 	 110 	 112 	5%	4%	7%	7%
WV	 420 	 410 	 415 	 397 	 205 	 210 	 200 	 201 	49%	51%	48%	51%		 186 	 184 	 177 	 168 	44%	45%	43%	42%	 19 	 25 	 23 	 33 	5%	6%	6%	8%
WI	" 1,420 "	" 1,421 "	" 1,345 "	" 1,601 "	 487 	 428 	 404 	 479 	34%	30%	30%	30%		 418 	 390 	 364 	 458 	29%	27%	27%	29%	 69 	 38 	 40 	 21 	5%	3%	3%	1%
WY	 125 	 128 	 128 	 138 	 45 	 48 	 45 	 53 	36%	38%	35%	38%		 39 	 36 	 36 	 41 	31%	28%	28%	30%	 6 	 12 	 10 	 12 	5%	9%	8%	9%
